Front,Extra
"Cada mama adere em sua base à parede torácica por uma {c1::fáscia} profunda, que cobre o músculo peitoral.",
lt;ref name=Surgery2009/&gt; Nas queimaduras elétricas pode ser necessário recorrer a {c1::fasciotomia}.,
Quando não tratado adequadamente o ''Streptococcus pyogenes'' pode destruir colágeno e fibras musculares debaixo da pele causando {c1::fascite} necrotizante.,
" Cada um dos aspectos diversos da Lua e de outros planetas, segundo a maneira, com que recebem a luz do Sol. Cada uma das modificações sucessivas que se notam em certas coisas: _as fases de uma questão_. Cada um dos diferentes aspectos que uma coisa apresenta sucessivamente: _as fases da vida_.  {c1::fase}","Exemplo: Com isso, é relativamente mais fácil de medir a amplitude e a fase das ondas de rádio."
" Estado mórbido, caracterizado pela aceleração do pulso e aumento de calor.  {c1::febre}","Exemplo: Cerca de 700 mil moradias foram destruídas, 3/4 das criações de animais pereceram, metade da frota pesqueira afundou, um milhão de acres de terras cultivadas foram salgadas por uma maré de tempestade de 3,5 metros que acompanhou o ciclone, os mananciais de água doce foram salgados e contaminados, e os sobreviventes sofreram com epidemias de febre tifoide, cólera, disenteria e outras doenças, além de fome, sede e falta de assistência médica e abrigo."
"Várias outras moléstias influenciadas pelo clima, como a leishmaniose, {c1::febre amarela}, filariose, febre do oeste do Nilo, doença de Lyme, ebola e várias arboviroses, provavelmente seguirão neste caminho.",
 Acto ou efeito de fecundar.  {c1::fecundação},Exemplo: O sistema reprodutor está preparado para fecundação interna e a maior parte das espécies possui um órgão copulatório.
"Pesquisadores tentarão reproduzir o grupo por meio de {c1::fecundação in vitro}, com material genético coletado do macho.",
 Gavela; braçado. Molho.  {c1::feixe},"Exemplo: Totalizando 10 anos, foi neste período que ele escreveu the ''Kitab al-Manazir'', o ''Livro de Óptica'', e quando, segundo as histórias, teve a ideia da Albait Almuzlim, câmera obscura em árabe, ao ver um feixe de luz atravessar um quarto escuro e perceber que ele projetava a imagem de objetos do lado de fora na parede contrária, descobrindo assim que a luz viaja em linha reta."
" Osso, que constitue a parte sólida da coxa da perna. Coxa. Nó superior das patas dos insectos.  {c1::fêmur}","Exemplo: A comparação do citocromo b mitocondrial e das sequências 12S de RNA ribossomal, isolados de um tarso de dodô e de um fêmur de solitário-de-rodrigues, confirmou o parentesco próximo entre essas duas aves, bem como sua classificação dentro da família Columbidae."
 Abertura de objecto fendido; fisga; racha.  {c1::fenda},"Exemplo: Entrevista para a ABC Radio National, 8/8/2004 As pitonisas proferiam seus oráculos em um estado de transe, sentadas sobre uma trípode que ficava sobre uma fenda rochosa no solo de onde saíam vapores subterrâneos, depois de mascarem folhas de loureiro e beberem água da fonte sagrada."
"Na verdade, cada família brasileira de antiga extração retrata no {c1::fenótipo} de seus membros características isoladas de ancestrais mais próximos ou mais remotos dos três grandes troncos formadores.",
 Chaga; golpe; úlcera.  {c1::ferida},"Exemplo: Na batalha que se seguiu Aquiles provocou no próprio Télefo uma ferida que não cicatrizava jamais; Télefo consultou um oráculo, que afirmou que &quot;aquele que feriu deverá curar&quot;."
" Reacção espontânea de um corpo orgânico, pela presença de um fermento que o decompõe.  {c1::fermentação}","Exemplo: Os bioquímicos utilizam ferramentas e conceitos da química e da biologia, particularmente da química orgânica, físico-química, fermentações e metabolismo, biologia celular, biologia molecular e genética, para a elucidação dos sistemas vivos e para sua aplicação tecnológica e industrial."
 Qualidade do que é fértil. Fecundidade.  {c1::fertilidade},"Exemplo: lt;ref name=&quot;:0&quot; /&gt; Por isso, o litoral leste continuou quase sem exploração até o início do século XVII, na época em que a fertilidade do solo para a lavoura e a pecuária foi verificada pelos europeus."
Os restantes animais desenvolvem {c1::feto}s no interior de uma placenta que os alimenta.,
" O mesmo que _fêvera_. Elemento anatómico, longo e frágil.  {c1::fibra}","Exemplo: In: ''Journal of Coastal Research'', 1995; (14):343-361 A elevação do nível do mar também compromete a estrutura de internet como redes de fibra ótica e centros de processamento de dados que foram projetados e construídos na década de 1990, quando o aquecimento global não era tão preocupante."
"pdf|título=Measuring overall health system performance for 191 countries|obra=WHO|wayb=20061230235518|urlmorta=sim}} O sistema de saúde é geralmente livre para as pessoas afetadas por doenças crônicas (''Affections de longues durées''), tais como câncer, AIDS ou {c1::fibrose} cística.",
"pdf|título=Measuring overall health system performance for 191 countries|obra=WHO|wayb=20061230235518|urlmorta=sim}} O sistema de saúde é geralmente livre para as pessoas afetadas por doenças crônicas (''Affections de longues durées''), tais como câncer, AIDS ou {c1::fibrose cística}.",
" Víscera volumosa, parte da qual produz a bílis, em-quanto a outra parte produz a substância açucarada que passa aos pulmões, servindo aos actos respiratórios.  {c1::fígado}","Exemplo: Por exemplo, um anatomista se preocupa com a forma, tamanho, posição, estrutura, suprimento sanguíneo e inervação de um órgão como o fígado; enquanto um fisiologista está interessado na produção de bile, o papel do fígado na nutrição e na regulação das funções corporais."
 Acto de filtrar.  {c1::filtração},"Exemplo: com/t452-alimentacao-dos-peixes|título=ALIMENTAÇÃO DOS PEIXES |acessodata=18 de abril de 2012}} que filtram à medida que &quot;respiram&quot;, com a ajuda de ''branquispinhas'', que são excrescências ósseas dos ''arcos branquiais'' (a estrutura que segura as brânquias ou guelras)."
" Aperto natural ou acidental, que não deixa que o prepúcio se retire para trás.  {c1::fimose}","Exemplo: O prepúcio pode estar envolvido em balanites, fimose, infecções sexualmente transmissíveis e câncer de pênis."
" Ciência, que trata das funções dos órgãos nos seres vivos, vegetais e animais. Tratado de Fisiologia.  {c1::fisiologia}","Exemplo: A anatomia distingue-se da fisiologia e da bioquímica, que estudam respetivamente as funções dessas partes e os processos químicos envolvidos."
"Apoiou as forças aliadas, denunciando no entanto a utilização da {c1::fissão} nuclear como uma arma.",
 Fenda. Úlcera na mucosa do ânus.  {c1::fissura},"Exemplo: Tétis (satélite)|Tétis]] possui uma fissura que possui grande extensão em sua superfície, enquanto Mimas possui uma enorme cratera de impacto."
São ainda comuns as fissuras e abcessos anais.,
" Úlcera, de abertura estreita, e comunicando com uma cavidade natural.  {c1::fístula}","Exemplo: lt;ref name=&quot;Hysinger2016&quot; /&gt; A traqueomalácia congênita pode ocorrer isoladamente ou em associação com outras anormalidades como broncomalácia ou laringomalácia, conexões anormais entre a traqueia e o esôfago, entre outras."
"Que pode ser ocasionado por doenças como Beribéri, {c1::fístula arteriovenosa}, hipertireoidismo, anemia ou qualquer outro fator que reduza a resistência periférica total.",
" Acto de fixar. Operação química, com que se torna fixo um corpo volátil.  {c1::fixação}","Exemplo: Como o próprio nome sugere, era um esboço de teoria, com as equações de movimento complementadas por condições adicionais de fixação de calibre."
 Estado ou qualidade daquilo que é flácido.  {c1::flacidez},"Exemplo: sfn|Speer|1971|pp=141–142}} De acordo com Speer, o Führer acreditava que a religião japonesa ou o islamismo seriam religiões melhores para os alemães do que o cristianismo, com sua &quot;mansidão e flacidez&quot;."
 Inflamação da membrana interna das veias.  {c1::flebite},"Exemplo: Além da já referida utilização por desportistas, é particularmente usada para casos de problemas digestivos, flebites, sinusites e como auxiliar de cura após cirurgia."
 Sangria; arte de sangrar.  {c1::flebotomia},"Exemplo: A sua aplicação em grande escala é hoje considerada como um dos episódios mais bárbaros da história da psiquiatria, sendo comum a sua comparação com a técnica da flebotomia (ou sangria) na história da medicina interna."
" Conjunto das plantas, que crescem em determinada região. Tratado, acerca dessas plantas. Pequeno planeta, entre Marte e Clio.  {c1::flora}","Exemplo: lt;ref name=&quot;iucn&quot;/&gt; Na Convenção sobre o Comércio Internacional das Espécies da Fauna e da Flora Silvestres Ameaçadas de Extinção (CITES) aparece no &quot;Appendix I&quot;, e pelo Ministério do Meio Ambiente como &quot;em perigo crítico&quot; desde 2003."
" Iluminação especial, que apresentam certas substâncias, quando expostas à acção dos raios químicos.  {c1::fluorescência}",Exemplo: Henri fez diversos estudos para investigar se uma substância fluorescente poderia emitir raios X quando era submetida à luz do sol.
" Preamar, enchente fluvial.  {c1::fluxo}","Exemplo: Acima do núcleo está a zona de radiação, onde o plasma se converte o fluxo de energia através da radiação."
" Designação genérica das diferentes espécies de medo mórbido, como agorafobia, a talassofobía, etc.  {c1::fobia}","Exemplo: volume=60}} Alguns alunos que estudam matemática podem desenvolver apreensão ou medo em relação ao seu desempenho na matéria, o que é conhecido como ansiedade matemática ou fobia matemática e é considerado o mais proeminente dos distúrbios que afetam o desempenho acadêmico."
 Inflamação dos folículos pilosos.  {c1::foliculite},"Exemplo: org|acessodata=7 de dezembro de 2016|citação=}} No entanto, a comunidade médica também viu um aumento recente na foliculite, ou infecção em torno do folículo piloso, em mulheres que depilam ou depilam as áreas do biquíni."
" Pequeno fole. Vesícula. Vagem de uma só sutura longitudinal. Pequena cavidade nas glândulas, entre as extremidades das artérias, veias e canais secretores.  {c1::folículo}","Exemplo: lt;ref name=pereira1980/&gt; A pele é ondulada, com pelos emergindo em ângulo agudo com folículos agrupados em três associados à glândulas sebáceas."
" Parte membranosa do crânio das crianças. Fonte aberta por operação cirúrgica, como revulsivo. Fontículo.  {c1::fontanela}","Exemplo: com/Health_and_Science/We-re-Born-With-270-Bones-As-Adults-We-Have-206|arquivodata=9 de dezembro de 2007}} Os bebês nascem com estruturas entre alguns ossos do crânio, chamadas fontanelas, popularmente chamadas &quot;moleiras&quot;."
" Abertura, cova.  {c1::forame}","Exemplo: Não há plexo coróide no corno anterior  No terceiro ventrículo existe uma pequena porção no teto que é contínua com a do corpo, via forames interventriculares, os canais que conectam os ventrículos laterais com o terceiro ventrículo."
" Expressão de um preceito ou de um principio. Receita, escrita por um médico ou indicada em algum receituário ou pharmacopeia. Expressão matemática, para resolver problemas análogos. Palavras, que servem invariavelmente na celebração de certos actos solenes.  {c1::fórmula}","Exemplo: Embora mais conhecido por sua fórmula de equivalência massa-energia, E = mc² — que foi chamada de &quot;a equação mais famosa do mundo&quot; —, foi laureado com o Prêmio Nobel de Física de 1921 &quot;por suas contribuições à física teórica&quot; e, especialmente, por sua descoberta da lei do efeito fotoelétrico, que foi fundamental no estabelecimento da teoria quântica."
" Cova. Cavidade subterrânea, em que se recolhem imundícies. Pequena cavidade natural no queixo ou na face.  {c1::fossa}",Exemplo: A parte anterior do cotovelo é denominada &quot;região cubital&quot; e a parte posterior &quot;região olecraniana&quot;.
 Aversão à luz.  {c1::fotofobia},"Exemplo: Alguns desenvolvem fotofobia (sensibilidade à luz forte), astenopia por forçar os olhos durante a leitura ou coceira no olho."
"A orografia açoriana apresenta-se muito acidentada, com linhas de relevo orientadas na direção Leste-Oeste, coincidentes com as linhas de {c1::fratura} que estão na génese das ilhas.",
O {c1::frênulo} é uma estrutura circular que pode ser encontrada logo após o prostômio.,
 Acto de friccionar. Medicamento para fomentações.  {c1::fricção},Exemplo: lt;/ref&gt; Cerca de 30 famílias de aves insetívoras apresentam cerdas muito curtas em toda a mandíbula que aumentam a fricção e lhes permitem segurar insetos de carapaça dura.
 Relativo a fronte: _osso frontal_.  {c1::frontal},"Exemplo: Defensor da primeira perspectiva, Murray Bookchin sustentava que o município deveria ser a base para relações sociais diretas, servindo como base para uma &quot;democracia frontal&quot; e para a &quot;intervenção pessoal do indivíduo&quot;, &quot;para que as freguesias, comunidades e cooperativas convirjam na formação de uma nova esfera pública&quot;."
 Que destrói os fungos ou fungões.  {c1::fungicida},"Exemplo: O ácido bórico têm propriedades antissépticas, fungicida e antiviral e por essas razões é utilizado como clarificador da água no tratamento de água em piscinas ."
 Excrescência na pele ou nas mucosas em forma de cogumelo. Fungão^2.  {c1::fungo},"Exemplo: Quanto a doenças, a mais grave e de de ocorrência generalizada é a fusariose ou gomose, causada pelo fungo ''Fusarium subglutinans&quot; f."
" Pequeno corpo cinzento e arredondado, que se encontra no trajecto dos nervos.  {c1::gânglio}",Exemplo: Os neurónios podem estar ligados entre si em gânglios nervosos.
" O mesmo que _laringe_. Parte interior do pescoço, por onde os alimentos passam da boca ao estômago. Pescoço. Gomo da cana de açúcar. Abertura estreita. Desfiladeiro; passagem estreita entre montanhas. Moldura reentrante.  {c1::garganta}","Exemplo: svg|thumb|Topografia de uma ave: 1 Bico, 2 Coroa, 3 Íris, 4 Pupila, 5 Manto, 6 Pequenas coberturas, 7 Escapulares, 8 Grandes coberturas, 9 Terciárias, 10 Uropígio, 11 Primárias, 12 Cloaca, 13 Coxa, 14 Articulação tíbiotársica, 15 Tarso, 16 Pata, 17 Tíbia, 18 Ventre, 19 Flancos, 20 Peito, 21 Garganta, 22 Papada, 23 Lista supraciliar."
" Pau curto, com que se apertava a corda do enforcado. Estrangulação, sem que se suspenda a vítima. (Talvez de _garra_)  {c1::garrote}",Exemplo: A execução dos condenados - aqui dois no garrote - não tinha lugar aquando do auto.
htm|wayb=20071213122134|urlmorta=sim}} (para mais informações vide traje espacial e {c1::gasometria} arterial).,
 Inflamação simultânea do estômago e dos intestinos.  {c1::gastroenterite},"Exemplo: info=1&amp;clef=V5w9Rfu55p7k  Astrotheme] O seu irmão mais velho, também chamado Salvador (nascido em 12 de outubro de 1901), morreu de gastroenterite, nove meses antes, em 1 de agosto de 1903Dalí, Secret Life, p."
"text bytes=""2686"" xml:space=""preserve"">{{Info/Especialidade médica|título=Gastroenterologia|sistema=Digestivo e gástrico|doenças=Gastrite, Síndrome do cólon irritável, Constipação e outros.",
"text bytes=""2686"" xml:space=""preserve"">{{Info/Especialidade médica|título=Gastroenterologia|sistema=Digestivo e gástrico|doenças=Gastrite, Síndrome do cólon irritável, Constipação e outros.",
" Operação, para fazer desaparecer um estreitamento do estômago ou para se fechar o orifício de uma úlcera do mesmo órgão.  {c1::gastroplastia}",Exemplo: A modificação do estômago chama-se gastroplastia.
" Abertura de uma boca estomocal, pela qual se introduzam alimentos.  {c1::gastrostomia}",Exemplo: A colocação de tubos no estômago através do abdômen chama-se gastrostomia.
"Sementes resistentes a herbicidas têm um {c1::gene} implantado em seu genoma que permite que as plantas tolerem a exposição a herbicidas, incluindo o glifosato.",
 Série ascendente ou descendente de antepassados. Linhagem. Exposição das origens e ramificações de uma família.  {c1::genealogia},"Exemplo: lt;ref&gt;_____Porto, Aurélio, “''Getúlio Vargas à luz da Genealogia''”, página 17, Separata do “Anuário Genealógico Brasileiro”, São Paulo, 1943 Uma vez na presidência, vários pesquisadores quiseram encontrar alguma origem nobre na sua árvore genealógica, mas Getúlio Vargas demonstrou falta de interesse no assunto."
numero-autores=1|volume=108|doi-access=free|periódico=Proceedings of the National Academy of Sciences}} – no Rio das Pérolas no sul da China com uma única origem {c1::genética} do arroz selvagem ''Oryza rufipogon''.,
"Sementes resistentes a herbicidas têm um gene implantado em seu {c1::genoma} que permite que as plantas tolerem a exposição a herbicidas, incluindo o glifosato.",
"lt;/ref&gt; A informação genética num genoma está nos genes, e o conjunto completo desta informação num organismo é chamado o seu {c1::genótipo}.",
"lt;ref name=GERIATRIA&gt;{{Citar livro|título=Geriatria e Gerontologia do Cão e Gato|autor=Hoskins, Johnny D.",
"lt;ref name=GERIATRIA&gt;{{Citar livro|título=Geriatria e Gerontologia do Cão e Gato|autor=Hoskins, Johnny D.",
 Que destrói os germes ou embriões.  {c1::germicida},"Exemplo: O telúrio coloidal tem ação fungicida, inseticida e germicida;{{citar periódico |url=https://books."
" Tempo, que medeia entre a concepção e o nascimento dos mamíferos. Gravidez.  {c1::gestação}","Exemplo: lt;ref name=miglino2013/&gt; A gestação é a maior entre todos os roedores, tendo em média, 150 dias."
"Meat Loaf]], que interpreta um membro do clube da luta que tem {c1::ginecomastia}, usava um arnês de 40 kg (90 libras) que lhe dava seios grandes; ele também usava calçados altos de vinte centímetros em suas cenas com Norton para parecer mais alto que ele.",
 Existência normal da glicose no sangue.  {c1::glicemia},"Exemplo: Por exemplo, a fosforilação de diversas enzimas, como a glicogénio sintase, em resposta a um sinal da insulina, ajuda no controlo da síntese ou degradação do glicogénio e permite a resposta celular a variações da glicemia."
"Bernardo Houssay]], o primeiro latino-americano premiado com um Prêmio Nobel em Ciências, descobriu o papel dos hormônios da hipófise na regulação da glicose em animais; César Milstein fez uma extensa pesquisa sobre anticorpos; Luis Leloir descobriu como os organismos armazenam energia convertendo glicose em {c1::glicogênio} e em compostos que são fundamentais no metabolismo de carboidratos.",
 Açúcar de uvas ou do amido.  {c1::glicose},"Exemplo: Bernardo Houssay]], o primeiro latino-americano premiado com um Prêmio Nobel em Ciências, descobriu o papel dos hormônios da hipófise na regulação da glicose em animais; César Milstein fez uma extensa pesquisa sobre anticorpos; Luis Leloir descobriu como os organismos armazenam energia convertendo glicose em glicogênio e em compostos que são fundamentais no metabolismo de carboidratos."
A medida do índice glicêmico do sangue é feito a partir de um teste eletrônico normalmente feito com um aparelho chamado {c1::glicosímetro}.,
"Quando a concentração de glicose no sangue está alta (acima do limiar renal), a reabsorção de glicose no túbulo proximal do rim é incompleta, e parte da glicose é excretada na urina ({c1::glicosúria}).",
"Proteinúria]]: é a presença de proteínas na urina, como é costume observar-se nos casos de {c1::glomerulonefrite}, infeção do trato urinário, intoxicações, diabetes e outras.",
"Os chamados hormônios catabólicos clássicos conhecidos desde o início do século XX são cortisol, {c1::glucagon} e adrenalina (e outras catecolaminas).",
"Todos os aminoácidos são sintetizados a partir de intermediários da glicólise, do ciclo dos ácidos tricarboxílicos ou da via das pentoses-fosfato; o azoto não existente nestes intermediários é fornecido pelo glutamato ou pela {c1::glutamina}.",
"Esse tipo de retículo é abundante principalmente em células do fígado, gónadas e pâncreas.",
Ativada pelo hipotálamo a hipófise começa a secretar novos hormônios que agem sobre os órgãos sexuais ({c1::gonadotrofina}s: hormônio folículo-estimulante e hormônio luteinizante) e sobre as glândulas suprarrenais (hormônio adrenocorticotrófico).,
 Arte de medir ângulos.  {c1::goniometria},"Exemplo: O termo '''goniometria''' é derivado de duas palavras gregas, gônia, que significa ângulo e metron, que significa [[Medição|medida."
 Corrimento mucoso pelo canal da uretra.  {c1::gonorreia},"Exemplo: rowspan=&quot;10&quot; | Infeções do trato urinário, prostatites bacterianas, diarreia causada por infeções bacterianas, infeções por mycoplasma, gonorreia."
" Substância animal untuosa e de pouca consistência, que se derrete facilmente. Qualidade de quem ou daquilo que é gordo.  {c1::gordura}","Exemplo: As penas e, em algumas espécies, a gordura subcutânea, oferecem isolamento térmico."
g Método do resíduo mínimo generalizado e o Método do {c1::gradiente} conjugado.,
" Acto ou efeito de granular^2. Granito. Porção de glóbulos, na superfície de um órgão ou de uma membrana.  {c1::granulação}","Exemplo: lt;ref name=&quot;:51&quot; /&gt; Onde: o primeiro é formado por 8 litológicas, porém apresenta argilitos, siltitos e intercalações de lentes de arenitos; a segunda são sedimentos inconsolidados (solos) de cor amarelada, formados por grãos de quartzo arredondados e de granulação fina, sobrepostos às rochas do Grupo Barreiras, mas lateritizadas, e; a terceira geralmente recoberta por latossolos amarelados."
" Tumor, formado de tecido granuloso.  {c1::granuloma}","Exemplo: Quando os macrófagos não conseguem realizar esse processo de degradação, eles se organizam em um aglomerado de células chamadas de células '''gigantes multinucleadas''' ou de '''granuloma''', sendo prejudiciais para o seu tecido por perder a função e ocorrer a morte de células saudáveis."
" Qualidade ou estado de grávido. Estado da mulher e das fêmeas em geral, durante o tempo em que se desenvolve o respectivo embrião. Gestação; prenhez.  {c1::gravidez}","Exemplo: Nos seres humanos, as duas primeiras características estão presentes apenas durante a fase embrionária."
" Costume. Uso. Vestuário. Roupagem de frade ou freira. Aspecto, aparência.  {c1::hábito}","Exemplo: O pescado é usado na maior parte da culinária típica da região, hábito este influenciado pelos costumes ameríndios e europeus."
" Ar que sai dos pulmões, depois de aspirado. Cheiro; exalação. Viração.  {c1::hálito}","Exemplo: Seres humanos expostos a atmosfera com 0,01&amp;nbsp;mg/m³ ou menos com telúrio adquirem um hálito desagradável e secura na boca."
"Hall (1981) caracterizou a classe ''Mammalia'' como &quot;sendo especialmente notáveis por possuírem glândulas mamárias que permitem à fêmea nutrir o filhote recém-nascido com leite; presença de pelos, embora confinados aos estágios iniciais de desenvolvimento na maioria dos cetáceos; ramo horizontal da mandíbula é composto por um único osso; a mandíbula se articula diretamente com o crânio sem intervenção do osso quadrado; dois côndilos occipitais; diferindo das aves e répteis por possuírem diafragma e por terem {c1::hemácias} anucleadas; lembram as aves e diferem dos répteis por terem sangue quente, circulação diferenciada completa e quatro câmaras cardíacas; diferem dos anfíbios e peixes pela presença do âmnio e alantoide e pela ausência de guelras&quot;.",
"Podem ocorrer, ainda, hemorragias gastrointestinais, que, comumente, se manifestam como evacuação de fezes negras (melena) e vômito negro de sangue digerido ({c1::hematêmese}).",
 Tratado teórico acerca do sangue.  {c1::hematologia},Exemplo: Introdução à Hematologia.
 Tratado teórico acerca do sangue.  {c1::hematologia},Exemplo: Introdução à Hematologia.
" Tumor sanguíneo, resultante de contusão, da ruptura de varizes, etc.  {c1::hematoma}","Exemplo: A menstruação se torna mais prolongada e volumosa, podem ocorrer sangramento nasal, nas gengivas e hematomas com qualquer golpe."
"Foram feitas investigações no ouriço-do-mar ''Strongylocentrotus purpuratus'', onde se encontrou um rico sistema imunitário com homólogos de importantes reguladores imunitários e hematopoiéticos de articulados, alguns deles críticos.",
 Fluxo de sangue pela uretra.  {c1::hematuria},"Exemplo: Causa hematuria (que é sangue), odor fétido."
ano=2003 |título=Doença de Chagas crônica: do xenodiagnóstico e {c1::hemocultura} à reação em cadeia da polimerase |periódico=Revista de Saúde Pública |volume=37 |número=1 |páginas=107-115 |doi=10.,
br/noticias/saude/muriae-ganhara-duas-viaturas-do-samu-e-setor-de-{c1::hemodialise}-do-hsp-sera-ampliadohttp://www.,
"option=com_content&amp;view=article&amp;id=7298:hospital-do-suburbio-e-destaque-em-revista-nacional&amp;catid=1:noticiascidadaousuario&amp;Itemid=14}} Hospital Santo Antônio (fundado por Irmã Dulce); Hospital Sarah Kubitschek; Hospital Manoel Victorino; Hospital Santa Izabel; Hospital Ana Nery, referência nas áreas de cardiologia, cirurgia vascular, {c1::hemodiálise} e transplante de órgãos;{{citar web|url=http://www.",
" Alteração no sangue, em virtude da qual é difícil estancar o que sai pelo nariz ou por qualquer ferimento.  {c1::hemofilia}","Exemplo: Muitas moléstias hereditárias já estão devidamente estudadas e os genes ou cromossomos responsáveis, localizados, como na síndrome de Down, na hemofilia, na distrofia muscular progressiva e em inúmeros outras."
" Substância, que constitue os 9/10 do peso dos princípios fixos dos glóbulos sanguíneos.  {c1::hemoglobina}","Exemplo: Têm importante papel na contração e movimentação dos músculos (actina e miosina), sustentação (colágeno), transporte de oxigênio (hemoglobina), na defesa do organismo (anticorpos ), na produção de hormônios e também atuam como catalisadores (as enzimas) de reações químicas."
"São feitos então alguns testes alternativos para diagnóstico de patologias no ouvido interno, sendo eles: {c1::hemograma}, VHS,fator reumatóide, mucoproteínas, FAN, ICC circulantes, complemento total e frações e Anticorpo anti-colágeno tipo II.",
 Hemorragia da membrana mucosa do pulmão. Expectoração de sangue.  {c1::hemoptise},"Exemplo: Durante a viagem marítima, a doença avançou e na noite do desembarque ao aportar em Lisboa no dia 17 de maio, Nina apresentou uma crise de hemoptise, que é quando uma quantidade de sangue oriunda das vias aéreas e dos pulmões passa pela glote."
 Derramamento de sangue para fora dos vasos que o devem conter.  {c1::hemorragia},"Exemplo: Quando foi encontrado, os médicos tinham poucas opções de tratamento e envolveram o vaso sanguíneo inflamado com papel celofane na esperança de evitar uma hemorragia."
"Eu digo que Grammy é como {c1::hemorroida}: eventualmente, todo c.",
  {c1::hemostasia},"Exemplo: lt;li&gt;10:50, 30 Out 2004 Famadas &quot;[[:Imagem:Hemostasia."
"Existem, já em aplicação e em fase de testes, mais de um conceito de equipamentos de manutenção do órgão após a extração ({c1::hepatectomia}), com o objetivo de aumentar a quantidade de horas em trânsito, assim como garantir que as condições fisiológicas sejam mantidas da melhor forma possível.",
 Inflamação do fígado.  {c1::hepatite},"Exemplo: Há controvérsias sobre a causa da morte de Beethoven, sendo citados cirrose alcoólica, sífilis, hepatite infecciosa, envenenamento, sarcoidose e doença de Whipple."
 Tratado acerca do fígado.  {c1::hepatologia},"Exemplo: Médicos gastroenterologistas podem ainda atuar em áreas que não são consideradas especialidades médicas no Brasil, mas que estão relacionadas à especialidade e geralmente requerem uma formação acadêmica adicional, a saber: endoscopia digestiva, gastroenterologia pediátrica, hepatologia e nutrição parenteral e  enteral."
 Tratado acerca do fígado.  {c1::hepatologia},"Exemplo: Médicos gastroenterologistas podem ainda atuar em áreas que não são consideradas especialidades médicas no Brasil, mas que estão relacionadas à especialidade e geralmente requerem uma formação acadêmica adicional, a saber: endoscopia digestiva, gastroenterologia pediátrica, hepatologia e nutrição parenteral e  enteral."
" Tumor, produzido pela saída ou deslocação de uma víscera.  {c1::hérnia}","Exemplo: Recebeu a Ordem de Mérito em 1925 e em 1931 foi condecorado Barão Rutherford de Nelson, Cambridge, um título que foi extinto depois da sua inesperada morte, enquanto aguardava uma cirurgia de hérnia umbilical."
"Hérnia de disco/Hérnia discal''' é a projeção da parte central do disco intervertebral (o núcleo pulposo) para além dos seus limites normais (a parte externa do disco, o ânulo fibroso).",
 Afeção vesiculosa da pele.  {c1::herpes},"Exemplo: Os vírus de ADN, como o herpes-vírus, replicam e agregam-se no núcleo celular, saindo depois por evaginação através da membrana nuclear interna."
" Acto de hidratar. Cf. _Techn. Rur._, 113 e 347.  {c1::hidratação}","Exemplo: Como podem ser obtidos através da hidratação dos óxidos ácidos, há a mesma sistemática de nomenclatura."
" Hidropisia cerebral, chamada vulgarmente _cabeça de água_.  {c1::hidrocefalia}","Exemplo: As pessoas portadoras dessa alteração frequentemente apresentam puberdade precoce e achados associados como malformações faciais (fenda palatina, hipertelorismo, micrografia, malformações de língua e de mandíbula, massas nas cavidades nasal, bucal ou na faringe - incluindo teratomas -, implantação do cabelo em &quot;V&quot; e implantação baixa das orelhas) e alterações intracranianas e espinhais (lipoma inter-hemisférico, agenesia do corpo caloso, ausência dos bulbos olfatórios, ausência do septo pelúcido, hipoplasia do vermis ou de todo o cerebelo, hidrocefalia, tálamos fundidos, anomalias do polígono de Willis, espinhas bífidas, diplomielia, mielomeningocele e tumores congênitos, como lipomas, teratomas)."
lt;/ref&gt; Uma condição na qual o volume de endolinfa é muito acima do normal é chamado {c1::hidropsia} endolinfática e é ligada com Hidropsia coclear.,
" Tratamento de doenças, por meio de água fria, em aplicações exteriores.  {c1::hidroterapia}","Exemplo: Em uma tentativa de melhorar sua condição de saúde crônica, Darwin consultou o médico James Manby Gully e se surpreendeu com alguns dos benefícios da hidroterapia."
 Superabundância de sangue em qualquer parte do corpo.  {c1::hiperemia},"Exemplo: Incluem aumento, diminuição, cessação do fluxo sangüíneo para os tecidos (hiperemia, oligoemia e isquemia), coagulação sanguínea no leito vascular (trombose), aparecimento na circulação de substâncias que não se misturam ao sangue e causam oclusão vascular (embolia), saída de sangue do leito vascular (hemorragia) e alterações das trocas de líquidos entre o plasma e o interstício (edema)."
" Proliferação celular anormal, que origina inflamação ou tumores.  {c1::hiperplasia}","Exemplo: shtml | publicado = Folha Online | data = 04/12/2009 | acessodata = 2009-12-06}} Em 2016, a National Toxicology Program  dos Estados Unidos, publicou estudo realizado ao longo de dois anos, cujas conclusões parciais e ainda sem revisão de pares, concluiu que as lesões hiperplásicas e neoplasias das células gliais observadas em ratos machos são provavelmente resultado da exposição a radiação por radiofrequências GSM e CDMA, aumentando a confiança na associação entre a exposição a radiofrequências e lesões neoplásicas no coração e no cérebro."
Uma equipe liderada por Alberto Taquini e Eduardo Braun-Menéndez descobriu a angiotensina em 1939 e foi o primeiro a descrever a natureza enzimática do sistema renina-angiotensina e seu papel na {c1::hipertensão}.,
