Term,Example Sentence
Fertilidade,"lt;ref name=&quot;:0&quot; /&gt; Por isso, o litoral leste continuou quase sem exploração até o início do século XVII, na época em que a fertilidade do solo para a lavoura e a pecuária foi verificada pelos europeus."
Feto,Os restantes animais desenvolvem fetos no interior de uma placenta que os alimenta.
Fibra,"In: ''Journal of Coastal Research'', 1995; (14):343-361 A elevação do nível do mar também compromete a estrutura de internet como redes de fibra ótica e centros de processamento de dados que foram projetados e construídos na década de 1990, quando o aquecimento global não era tão preocupante."
Fibrose,"pdf|título=Measuring overall health system performance for 191 countries|obra=WHO|wayb=20061230235518|urlmorta=sim}} O sistema de saúde é geralmente livre para as pessoas afetadas por doenças crônicas (''Affections de longues durées''), tais como câncer, AIDS ou fibrose cística."
Fibrose cística,"pdf|título=Measuring overall health system performance for 191 countries|obra=WHO|wayb=20061230235518|urlmorta=sim}} O sistema de saúde é geralmente livre para as pessoas afetadas por doenças crônicas (''Affections de longues durées''), tais como câncer, AIDS ou fibrose cística."
Fígado,"Por exemplo, um anatomista se preocupa com a forma, tamanho, posição, estrutura, suprimento sanguíneo e inervação de um órgão como o fígado; enquanto um fisiologista está interessado na produção de bile, o papel do fígado na nutrição e na regulação das funções corporais."
Filtração,"com/t452-alimentacao-dos-peixes|título=ALIMENTAÇÃO DOS PEIXES |acessodata=18 de abril de 2012}} que filtram à medida que &quot;respiram&quot;, com a ajuda de ''branquispinhas'', que são excrescências ósseas dos ''arcos branquiais'' (a estrutura que segura as brânquias ou guelras)."
Fimose,"O prepúcio pode estar envolvido em balanites, fimose, infecções sexualmente transmissíveis e câncer de pênis."
Fisiologia,"A anatomia distingue-se da fisiologia e da bioquímica, que estudam respetivamente as funções dessas partes e os processos químicos envolvidos."
Fissão,"Apoiou as forças aliadas, denunciando no entanto a utilização da fissão nuclear como uma arma."
Fissura,"Tétis (satélite)|Tétis]] possui uma fissura que possui grande extensão em sua superfície, enquanto Mimas possui uma enorme cratera de impacto."
Fissura anal,São ainda comuns as fissuras e abcessos anais.
Fístula,"lt;ref name=&quot;Hysinger2016&quot; /&gt; A traqueomalácia congênita pode ocorrer isoladamente ou em associação com outras anormalidades como broncomalácia ou laringomalácia, conexões anormais entre a traqueia e o esôfago, entre outras."
Fístula arteriovenosa,"Que pode ser ocasionado por doenças como Beribéri, fístula arteriovenosa, hipertireoidismo, anemia ou qualquer outro fator que reduza a resistência periférica total."
Fixação,"Como o próprio nome sugere, era um esboço de teoria, com as equações de movimento complementadas por condições adicionais de fixação de calibre."
Flacidez,"sfn|Speer|1971|pp=141–142}} De acordo com Speer, o Führer acreditava que a religião japonesa ou o islamismo seriam religiões melhores para os alemães do que o cristianismo, com sua &quot;mansidão e flacidez&quot;."
Flebite,"Além da já referida utilização por desportistas, é particularmente usada para casos de problemas digestivos, flebites, sinusites e como auxiliar de cura após cirurgia."
Flebotomia,"A sua aplicação em grande escala é hoje considerada como um dos episódios mais bárbaros da história da psiquiatria, sendo comum a sua comparação com a técnica da flebotomia (ou sangria) na história da medicina interna."
Flora,"lt;ref name=&quot;iucn&quot;/&gt; Na Convenção sobre o Comércio Internacional das Espécies da Fauna e da Flora Silvestres Ameaçadas de Extinção (CITES) aparece no &quot;Appendix I&quot;, e pelo Ministério do Meio Ambiente como &quot;em perigo crítico&quot; desde 2003."
Fluorescência,Henri fez diversos estudos para investigar se uma substância fluorescente poderia emitir raios X quando era submetida à luz do sol.
Fluxo,"Acima do núcleo está a zona de radiação, onde o plasma se converte o fluxo de energia através da radiação."
Fobia,"volume=60}} Alguns alunos que estudam matemática podem desenvolver apreensão ou medo em relação ao seu desempenho na matéria, o que é conhecido como ansiedade matemática ou fobia matemática e é considerado o mais proeminente dos distúrbios que afetam o desempenho acadêmico."
Foliculite,"org|acessodata=7 de dezembro de 2016|citação=}} No entanto, a comunidade médica também viu um aumento recente na foliculite, ou infecção em torno do folículo piloso, em mulheres que depilam ou depilam as áreas do biquíni."
Folículo,"lt;ref name=pereira1980/&gt; A pele é ondulada, com pelos emergindo em ângulo agudo com folículos agrupados em três associados à glândulas sebáceas."
Fontanela,"com/Health_and_Science/We-re-Born-With-270-Bones-As-Adults-We-Have-206|arquivodata=9 de dezembro de 2007}} Os bebês nascem com estruturas entre alguns ossos do crânio, chamadas fontanelas, popularmente chamadas &quot;moleiras&quot;."
Forame,"Não há plexo coróide no corno anterior  No terceiro ventrículo existe uma pequena porção no teto que é contínua com a do corpo, via forames interventriculares, os canais que conectam os ventrículos laterais com o terceiro ventrículo."
Fórmula,"Embora mais conhecido por sua fórmula de equivalência massa-energia, E = mc² — que foi chamada de &quot;a equação mais famosa do mundo&quot; —, foi laureado com o Prêmio Nobel de Física de 1921 &quot;por suas contribuições à física teórica&quot; e, especialmente, por sua descoberta da lei do efeito fotoelétrico, que foi fundamental no estabelecimento da teoria quântica."
Fossa,A parte anterior do cotovelo é denominada &quot;região cubital&quot; e a parte posterior &quot;região olecraniana&quot;.
Fotofobia,"Alguns desenvolvem fotofobia (sensibilidade à luz forte), astenopia por forçar os olhos durante a leitura ou coceira no olho."
Frasco de coleta de urina,NA
Fratura,"A orografia açoriana apresenta-se muito acidentada, com linhas de relevo orientadas na direção Leste-Oeste, coincidentes com as linhas de fratura que estão na génese das ilhas."
Frênulo,O frênulo é uma estrutura circular que pode ser encontrada logo após o prostômio.
Fricção,lt;/ref&gt; Cerca de 30 famílias de aves insetívoras apresentam cerdas muito curtas em toda a mandíbula que aumentam a fricção e lhes permitem segurar insetos de carapaça dura.
Frontal,"Defensor da primeira perspectiva, Murray Bookchin sustentava que o município deveria ser a base para relações sociais diretas, servindo como base para uma &quot;democracia frontal&quot; e para a &quot;intervenção pessoal do indivíduo&quot;, &quot;para que as freguesias, comunidades e cooperativas convirjam na formação de uma nova esfera pública&quot;."
Fungicida,"O ácido bórico têm propriedades antissépticas, fungicida e antiviral e por essas razões é utilizado como clarificador da água no tratamento de água em piscinas ."
Fungo,"Quanto a doenças, a mais grave e de de ocorrência generalizada é a fusariose ou gomose, causada pelo fungo ''Fusarium subglutinans&quot; f."
Gânglio,Os neurónios podem estar ligados entre si em gânglios nervosos.
Garganta,"svg|thumb|Topografia de uma ave: 1 Bico, 2 Coroa, 3 Íris, 4 Pupila, 5 Manto, 6 Pequenas coberturas, 7 Escapulares, 8 Grandes coberturas, 9 Terciárias, 10 Uropígio, 11 Primárias, 12 Cloaca, 13 Coxa, 14 Articulação tíbiotársica, 15 Tarso, 16 Pata, 17 Tíbia, 18 Ventre, 19 Flancos, 20 Peito, 21 Garganta, 22 Papada, 23 Lista supraciliar."
Garrote,A execução dos condenados - aqui dois no garrote - não tinha lugar aquando do auto.
Gasometria,htm|wayb=20071213122134|urlmorta=sim}} (para mais informações vide traje espacial e gasometria arterial).
Gastroenterite,"info=1&amp;clef=V5w9Rfu55p7k  Astrotheme] O seu irmão mais velho, também chamado Salvador (nascido em 12 de outubro de 1901), morreu de gastroenterite, nove meses antes, em 1 de agosto de 1903Dalí, Secret Life, p."
Gastroenterologia,"text bytes=""2686"" xml:space=""preserve"">{{Info/Especialidade médica|título=Gastroenterologia|sistema=Digestivo e gástrico|doenças=Gastrite, Síndrome do cólon irritável, Constipação e outros."
Gastroplastia,A modificação do estômago chama-se gastroplastia.
Gastrost,NA
Gastrostomia,A colocação de tubos no estômago através do abdômen chama-se gastrostomia.
Gel condutor para ultrassom,NA
Gene,"Sementes resistentes a herbicidas têm um gene implantado em seu genoma que permite que as plantas tolerem a exposição a herbicidas, incluindo o glifosato."
Genealogia,"lt;ref&gt;_____Porto, Aurélio, “''Getúlio Vargas à luz da Genealogia''”, página 17, Separata do “Anuário Genealógico Brasileiro”, São Paulo, 1943 Uma vez na presidência, vários pesquisadores quiseram encontrar alguma origem nobre na sua árvore genealógica, mas Getúlio Vargas demonstrou falta de interesse no assunto."
Genética,numero-autores=1|volume=108|doi-access=free|periódico=Proceedings of the National Academy of Sciences}} – no Rio das Pérolas no sul da China com uma única origem genética do arroz selvagem ''Oryza rufipogon''.
Genoma,"Sementes resistentes a herbicidas têm um gene implantado em seu genoma que permite que as plantas tolerem a exposição a herbicidas, incluindo o glifosato."
Genótipo,"lt;/ref&gt; A informação genética num genoma está nos genes, e o conjunto completo desta informação num organismo é chamado o seu genótipo."
Geriatria,"lt;ref name=GERIATRIA&gt;{{Citar livro|título=Geriatria e Gerontologia do Cão e Gato|autor=Hoskins, Johnny D."
Germicida,"O telúrio coloidal tem ação fungicida, inseticida e germicida;{{citar periódico |url=https://books."
Gestação,"lt;ref name=miglino2013/&gt; A gestação é a maior entre todos os roedores, tendo em média, 150 dias."
Ginecomastia,"Meat Loaf]], que interpreta um membro do clube da luta que tem ginecomastia, usava um arnês de 40 kg (90 libras) que lhe dava seios grandes; ele também usava calçados altos de vinte centímetros em suas cenas com Norton para parecer mais alto que ele."
Glicemia,"Por exemplo, a fosforilação de diversas enzimas, como a glicogénio sintase, em resposta a um sinal da insulina, ajuda no controlo da síntese ou degradação do glicogénio e permite a resposta celular a variações da glicemia."
Glicogênio,"Bernardo Houssay]], o primeiro latino-americano premiado com um Prêmio Nobel em Ciências, descobriu o papel dos hormônios da hipófise na regulação da glicose em animais; César Milstein fez uma extensa pesquisa sobre anticorpos; Luis Leloir descobriu como os organismos armazenam energia convertendo glicose em glicogênio e em compostos que são fundamentais no metabolismo de carboidratos."
Glicose,"Bernardo Houssay]], o primeiro latino-americano premiado com um Prêmio Nobel em Ciências, descobriu o papel dos hormônios da hipófise na regulação da glicose em animais; César Milstein fez uma extensa pesquisa sobre anticorpos; Luis Leloir descobriu como os organismos armazenam energia convertendo glicose em glicogênio e em compostos que são fundamentais no metabolismo de carboidratos."
Glicosímetro,A medida do índice glicêmico do sangue é feito a partir de um teste eletrônico normalmente feito com um aparelho chamado glicosímetro.
Glicosúria,"Quando a concentração de glicose no sangue está alta (acima do limiar renal), a reabsorção de glicose no túbulo proximal do rim é incompleta, e parte da glicose é excretada na urina (glicosúria)."
Glomerulonefrite,"Proteinúria]]: é a presença de proteínas na urina, como é costume observar-se nos casos de glomerulonefrite, infeção do trato urinário, intoxicações, diabetes e outras."
Glucagon,"Os chamados hormônios catabólicos clássicos conhecidos desde o início do século XX são cortisol, glucagon e adrenalina (e outras catecolaminas)."
Glutamina,"Todos os aminoácidos são sintetizados a partir de intermediários da glicólise, do ciclo dos ácidos tricarboxílicos ou da via das pentoses-fosfato; o azoto não existente nestes intermediários é fornecido pelo glutamato ou pela glutamina."
Gônada,"Esse tipo de retículo é abundante principalmente em células do fígado, gónadas e pâncreas."
Gonadotrofina,Ativada pelo hipotálamo a hipófise começa a secretar novos hormônios que agem sobre os órgãos sexuais (gonadotrofinas: hormônio folículo-estimulante e hormônio luteinizante) e sobre as glândulas suprarrenais (hormônio adrenocorticotrófico).
Goniometria,"O termo '''goniometria''' é derivado de duas palavras gregas, gônia, que significa ângulo e metron, que significa [[Medição|medida."
Gonorreia,"rowspan=&quot;10&quot; | Infeções do trato urinário, prostatites bacterianas, diarreia causada por infeções bacterianas, infeções por mycoplasma, gonorreia."
Gordura,"As penas e, em algumas espécies, a gordura subcutânea, oferecem isolamento térmico."
Gradiente,g Método do resíduo mínimo generalizado e o Método do gradiente conjugado.
Granulação,"lt;ref name=&quot;:51&quot; /&gt; Onde: o primeiro é formado por 8 litológicas, porém apresenta argilitos, siltitos e intercalações de lentes de arenitos; a segunda são sedimentos inconsolidados (solos) de cor amarelada, formados por grãos de quartzo arredondados e de granulação fina, sobrepostos às rochas do Grupo Barreiras, mas lateritizadas, e; a terceira geralmente recoberta por latossolos amarelados."
Granuloma,"Quando os macrófagos não conseguem realizar esse processo de degradação, eles se organizam em um aglomerado de células chamadas de células '''gigantes multinucleadas''' ou de '''granuloma''', sendo prejudiciais para o seu tecido por perder a função e ocorrer a morte de células saudáveis."
Gravidez,"Nos seres humanos, as duas primeiras características estão presentes apenas durante a fase embrionária."
Hábito,"O pescado é usado na maior parte da culinária típica da região, hábito este influenciado pelos costumes ameríndios e europeus."
Hálito,"Seres humanos expostos a atmosfera com 0,01&amp;nbsp;mg/m³ ou menos com telúrio adquirem um hálito desagradável e secura na boca."
Hemácias,"Hall (1981) caracterizou a classe ''Mammalia'' como &quot;sendo especialmente notáveis por possuírem glândulas mamárias que permitem à fêmea nutrir o filhote recém-nascido com leite; presença de pelos, embora confinados aos estágios iniciais de desenvolvimento na maioria dos cetáceos; ramo horizontal da mandíbula é composto por um único osso; a mandíbula se articula diretamente com o crânio sem intervenção do osso quadrado; dois côndilos occipitais; diferindo das aves e répteis por possuírem diafragma e por terem hemácias anucleadas; lembram as aves e diferem dos répteis por terem sangue quente, circulação diferenciada completa e quatro câmaras cardíacas; diferem dos anfíbios e peixes pela presença do âmnio e alantoide e pela ausência de guelras&quot;."
Hematêmese,"Podem ocorrer, ainda, hemorragias gastrointestinais, que, comumente, se manifestam como evacuação de fezes negras (melena) e vômito negro de sangue digerido (hematêmese)."
Hematologia,Introdução à Hematologia.
Hematoma,"A menstruação se torna mais prolongada e volumosa, podem ocorrer sangramento nasal, nas gengivas e hematomas com qualquer golpe."
Hematopoese,"Foram feitas investigações no ouriço-do-mar ''Strongylocentrotus purpuratus'', onde se encontrou um rico sistema imunitário com homólogos de importantes reguladores imunitários e hematopoiéticos de articulados, alguns deles críticos."
Hematuria,"Causa hematuria (que é sangue), odor fétido."
Hemocultura,ano=2003 |título=Doença de Chagas crônica: do xenodiagnóstico e hemocultura à reação em cadeia da polimerase |periódico=Revista de Saúde Pública |volume=37 |número=1 |páginas=107-115 |doi=10.
Hemodialise,br/noticias/saude/muriae-ganhara-duas-viaturas-do-samu-e-setor-de-hemodialise-do-hsp-sera-ampliadohttp://www.
Hemodiálise,"option=com_content&amp;view=article&amp;id=7298:hospital-do-suburbio-e-destaque-em-revista-nacional&amp;catid=1:noticiascidadaousuario&amp;Itemid=14}} Hospital Santo Antônio (fundado por Irmã Dulce); Hospital Sarah Kubitschek; Hospital Manoel Victorino; Hospital Santa Izabel; Hospital Ana Nery, referência nas áreas de cardiologia, cirurgia vascular, hemodiálise e transplante de órgãos;{{citar web|url=http://www."
Hemofilia,"Muitas moléstias hereditárias já estão devidamente estudadas e os genes ou cromossomos responsáveis, localizados, como na síndrome de Down, na hemofilia, na distrofia muscular progressiva e em inúmeros outras."
Hemoglobina,"Têm importante papel na contração e movimentação dos músculos (actina e miosina), sustentação (colágeno), transporte de oxigênio (hemoglobina), na defesa do organismo (anticorpos ), na produção de hormônios e também atuam como catalisadores (as enzimas) de reações químicas."
Hemograma,"São feitos então alguns testes alternativos para diagnóstico de patologias no ouvido interno, sendo eles: hemograma, VHS,fator reumatóide, mucoproteínas, FAN, ICC circulantes, complemento total e frações e Anticorpo anti-colágeno tipo II."
Hemoptise,"Durante a viagem marítima, a doença avançou e na noite do desembarque ao aportar em Lisboa no dia 17 de maio, Nina apresentou uma crise de hemoptise, que é quando uma quantidade de sangue oriunda das vias aéreas e dos pulmões passa pela glote."
Hemorragia,"Quando foi encontrado, os médicos tinham poucas opções de tratamento e envolveram o vaso sanguíneo inflamado com papel celofane na esperança de evitar uma hemorragia."
Hemorroida,"Eu digo que Grammy é como hemorroida: eventualmente, todo c."
Hemostasia,"lt;li&gt;10:50, 30 Out 2004 Famadas &quot;[[:Imagem:Hemostasia."
Hepatectomia,"Existem, já em aplicação e em fase de testes, mais de um conceito de equipamentos de manutenção do órgão após a extração (hepatectomia), com o objetivo de aumentar a quantidade de horas em trânsito, assim como garantir que as condições fisiológicas sejam mantidas da melhor forma possível."
Hepatite,"Há controvérsias sobre a causa da morte de Beethoven, sendo citados cirrose alcoólica, sífilis, hepatite infecciosa, envenenamento, sarcoidose e doença de Whipple."
Hepatologia,"Médicos gastroenterologistas podem ainda atuar em áreas que não são consideradas especialidades médicas no Brasil, mas que estão relacionadas à especialidade e geralmente requerem uma formação acadêmica adicional, a saber: endoscopia digestiva, gastroenterologia pediátrica, hepatologia e nutrição parenteral e  enteral."
Hérnia,"Recebeu a Ordem de Mérito em 1925 e em 1931 foi condecorado Barão Rutherford de Nelson, Cambridge, um título que foi extinto depois da sua inesperada morte, enquanto aguardava uma cirurgia de hérnia umbilical."
Hérnia discal,"Hérnia de disco/Hérnia discal''' é a projeção da parte central do disco intervertebral (o núcleo pulposo) para além dos seus limites normais (a parte externa do disco, o ânulo fibroso)."
Herpes,"Os vírus de ADN, como o herpes-vírus, replicam e agregam-se no núcleo celular, saindo depois por evaginação através da membrana nuclear interna."
Hidratação,"Como podem ser obtidos através da hidratação dos óxidos ácidos, há a mesma sistemática de nomenclatura."
Hidrocefalia,"As pessoas portadoras dessa alteração frequentemente apresentam puberdade precoce e achados associados como malformações faciais (fenda palatina, hipertelorismo, micrografia, malformações de língua e de mandíbula, massas nas cavidades nasal, bucal ou na faringe - incluindo teratomas -, implantação do cabelo em &quot;V&quot; e implantação baixa das orelhas) e alterações intracranianas e espinhais (lipoma inter-hemisférico, agenesia do corpo caloso, ausência dos bulbos olfatórios, ausência do septo pelúcido, hipoplasia do vermis ou de todo o cerebelo, hidrocefalia, tálamos fundidos, anomalias do polígono de Willis, espinhas bífidas, diplomielia, mielomeningocele e tumores congênitos, como lipomas, teratomas)."
Hidropsia,lt;/ref&gt; Uma condição na qual o volume de endolinfa é muito acima do normal é chamado hidropsia endolinfática e é ligada com Hidropsia coclear.
Hidroterapia,"Em uma tentativa de melhorar sua condição de saúde crônica, Darwin consultou o médico James Manby Gully e se surpreendeu com alguns dos benefícios da hidroterapia."
Hiperemia,"Incluem aumento, diminuição, cessação do fluxo sangüíneo para os tecidos (hiperemia, oligoemia e isquemia), coagulação sanguínea no leito vascular (trombose), aparecimento na circulação de substâncias que não se misturam ao sangue e causam oclusão vascular (embolia), saída de sangue do leito vascular (hemorragia) e alterações das trocas de líquidos entre o plasma e o interstício (edema)."
Hiperplasia,"shtml | publicado = Folha Online | data = 04/12/2009 | acessodata = 2009-12-06}} Em 2016, a National Toxicology Program  dos Estados Unidos, publicou estudo realizado ao longo de dois anos, cujas conclusões parciais e ainda sem revisão de pares, concluiu que as lesões hiperplásicas e neoplasias das células gliais observadas em ratos machos são provavelmente resultado da exposição a radiação por radiofrequências GSM e CDMA, aumentando a confiança na associação entre a exposição a radiofrequências e lesões neoplásicas no coração e no cérebro."
Hipertensão,Uma equipe liderada por Alberto Taquini e Eduardo Braun-Menéndez descobriu a angiotensina em 1939 e foi o primeiro a descrever a natureza enzimática do sistema renina-angiotensina e seu papel na hipertensão.
Hipertrofia,Alguns estudos têm demonstrado uma capacidade de lactação comparável entre mulheres com macromastia (hipertrofia da mama) em comparação com grupos de controle nas mulheres na qual a operação de redução dos seios foi realizada usando uma moderna técnica cirúrgica chamada de &quot;pedículo superior&quot;.
Hiperventilação,"Algumas pessoas, baseando-se em aspectos biológicos do corpo humano, dizem tratar-se de um exercício aeróbico que promove uma espécie de embriaguez por hiperventilação."
Hipnose,"lt;ref name=&quot;Melton14&quot;&gt;{{Harvnb|Melton|2000|p=14}} {{en}} A proibição foi baseada no Relatório de Anderson, que constatou que o processo de auditoria envolvia hipnose de &quot;comando&quot;, em que o hipnotizador assume &quot;controle autoritário positivo&quot; sobre o paciente."
Hipoalergênico,"título= Jewelrymaking through history: an encyclopedia}} O tungstênio metálico é mais duro que as ligas de ouro (embora não tão duro como o carbeto de tungstênio), e é hipoalergênico, o que o torna útil para a fabricação de anéis resistentes aos riscos, especialmente em desenhos com acabamento escovado."
Hipocalemia,"Em casos de hipocalemia (deficiência de potássio), a reposição é feita geralmente via oral, embora também possa ser diluído e dado introvenosamente."
Hipófise,"Bernardo Houssay]], o primeiro latino-americano premiado com um Prêmio Nobel em Ciências, descobriu o papel dos hormônios da hipófise na regulação da glicose em animais; César Milstein fez uma extensa pesquisa sobre anticorpos; Luis Leloir descobriu como os organismos armazenam energia convertendo glicose em glicogênio e em compostos que são fundamentais no metabolismo de carboidratos."
Hipotálamo,"descrevia o fígado, o baço, os rins, o hipotálamo, a bexiga, o coração e os vasos sanguíneos que dele divergem."
Hipotermia,"O animal é considerado febril quando tem a temperatura superior a 39,5&amp;nbsp;°C, e hipotérmico quando está abaixo de 37,5&amp;nbsp;°C."
Hipotireoidismo,Hipertiroidismo|Hipertireoidismo]] e Hipotireoidismo: atividade anormal da tireoide com produção excessiva/insuficiente dos hormônios tireoidianos.
Hipoventilação,"Os efeitos secundários mais comuns são elevada dependência psicológica, hipoventilação, boca seca e euforia."
Histerectomia,"Nestes casos, estará indicada a curagem uterina, a curetagem ou mesmo a retirada do útero (histerectomia)."
Histologia,A anatomia microscópica é o estudo das estruturas a uma escala microscópica e engloba a histologia (o estudo dos tecidos) e a embriologia (o estudo de um organismo ainda imaturo).
Histopatologia,"As profissões médicas exigem conhecimentos aprofundados de anatomia, sobretudo no caso dos cirurgiões e em especialidades de diagnóstico, como na histopatologia e na radiologia."
Histoplasma,"número=8}} ''Histoplasma'',{{citar periódico|autor =Kauffman CA."
História clínica,"No entanto, é importante realizar uma história clínica completa e abrangente para garantir que a trombocitose não se deve a um processo secundário."
HIV,"A prevalência de HIV/SIDA foi 3,90 por 100 adultos em 2003."
Homeopatia,"Inicialmente abordado pela psicopatologia, advinda da distinção progressiva do objeto da neurologia e psiquiatria, e consolidação destas como especialidades médicas, a percepção da importância dos fatores emocionais no adoecimento e recuperação da saúde já estavam presentes na medicina hipocrática e na homeopatia, contudo foi somente em meados do século XX que surgiram aplicações da psicologia nas intervenções clínicas atualmente denominadas por medicina psicossomática, psicologia médica, psicologia hospitalar e psicologia da saúde."
Homeostase,"com/science/article/pii/S0303264712001888 |numero=1 |pmid=23159919 |pmc=3712629 |paginas=1–10 |issn=0303-2647 |data=2013-01-01 |jornal=Biosystems |ultimo3=Tuszynski}} para manter um o equilíbrio dinâmico vital, através de reações bioquímicas (homeostase)."
Homogêneo,"As posições dos anarquistas em relação a certas questões não constituem um todo homogêneo, e o anarquismo tem sido marcado por diversos debates e divergências."
Hormônio,"pmc=2935116|pmid=20713389|volume=365|doi-access=free|periódico=Philosophical Transactions of the Royal Society B}} Algumas das práticas utilizadas na produção pecuária comercial, incluindo o uso de hormônios de crescimento, são controversas."
Hormônio luteinizante,lt;ref name=miglino2013/&gt; Esses dados foram obtidos a partir de esfregaços vaginais e medições dos hormônios luteinizante  e progesterona e temperatura corporal.
Hospedeiro,"Poyser |local=Londres |isbn=0-85661-135-2}} Após a ave parasita ter posto os ovos no ninho de outra ave, esses ovos são muitas vezes aceites e cuidados pelo hospedeiro e com prejuízo para a sua própria ninhada."
Humerus,ano=2005 |título=A Tachyglossid-Like Humerus from the Early Cretaceous of South-Eastern Australia |jornal=Journal of Mammalian Evolution |volume=12 |páginas=359–378 |doi=10.
Humor,"Com humor, cinismo e uma ausência completa de consciência social a obra de Forjaz de Sampaio &quot;fez-se&quot; como a de muitos escritores que &quot;ninguém lê&quot; mas que esgotam edições atrás de edições."
Humoral,"A tradição aiurveda indiana propôs o conceito dos três humores, à semelhança dos quatro humores da medicina grega, embora o sistema aiurvédico fosse mais elaborado, definindo o corpo humano como composto por cinco elementos e sete tipos básicos de tecido."
Icterícia,"Apresenta-se com hipoglicemia, icterícia prolongada, anomalias congénitas, micropênis e/ou criptorquidia (ausência de testículos), convulsões, hipotensão e / ou défice  cognitivo."
Idiopático,"A hipercalcemia infantil idiopática é causada por uma mutação do gene CYP24A1, levando a uma redução na degradação da vitamina D."
Imunidade,"HarvRef|Skidmore|2003|p=27}}{{HarvRef|Boxer|2002|p=101}} Os portugueses assimilaram algumas das tribos nativas,{{HarvRef|Boxer|2002|p=108}} enquanto outras foram escravizadas ou exterminadas por doenças europeias a que não tinham imunidade,{{HarvRef|Boxer|2002|p=102}}{{HarvRef|Skidmore|2003|p=30, 32}} ou em longas guerras travadas nos dois primeiros séculos de colonização, entre os grupos indígenas rivais e seus aliados europeus."
Imunização,"Taxas de imunização de crianças de um ano de idade em 1999 foram estimadas em 22% de tétano, difteria e tosse convulsa e 46% para sarampo."
Imunodeficiência,"Infecciologia &amp;#x2013; o ramo da medicina que trata do diagnóstico e tratamento de doenças infecciosas, especialmente para casos complexos e pacientes imunocomprometidos ."
Imunoglobulina,rowspan=2 align=&quot;center&quot;|&quot;por suas descobertas sobre a estrutura química dos anticorpos&quot;{{citar web|título=The Nobel Prize in Physiology or Medicine 1972|url=http://www.
Imunossupressão,lt;/ref&gt; Pessoas com imunossupressão substancial também são aconselhadas a receber terapia profilática para toxoplasmose e meningite ''cryptococcus''.
Inalação,"título=Size, Function, and Life History |ano=1996|editora=Courier Dove Publications|local=Mineola, Nova Iorque |isbn=978-0-486-69191-6 |página=91}} No momento da inalação, apenas 25% do ar inalado vai diretamente para os pulmões; os restantes 75% atravessam os pulmões e passam diretamente para um saco de ar posterior que se estende a partir dos pulmões e está ligado às cavidades de ar nos ossos, as quais preenche com ar."
Inapetência,"Pode ter efeitos no sangue, medula óssea, sistema nervoso central e periférico e rins, resultando em anemia, inapetência (anorexia), encefalopatia, dores de cabeça; dificuldade de concentração e memorização, depressão, tonturas, sonolência, fadiga, irritabilidade, cólicas abdominais e dores musculares, dores nas articulações, insuficiência renal e hipertensão; é tóxico para a reprodução e desenvolvimento humanos."
Incisão,"lt;ref name=&quot;intro HGray2&quot; /&gt; Os métodos usados incluem a dissecação, na qual um corpo é aberto e seus órgãos estudados, e a endoscopia, na qual um instrumento equipado com uma câmera de vídeo é inserido através de uma pequena incisão na parede do corpo e usado para explorar os órgãos internos e outras estruturas."
Incontinência,"Tlazolteotl]], deusa da luxúria e dos amantes ilícitos, padroeiro da incontinência, luxúria, adultério, sexo, paixões, carnalidade e transgressões morais."
Indução,"O nível tecnológico empregado nos plantios brasileiros de abacaxi é bastante heterogêneo, com áreas que empregam toda a tecnologia disponível (análise de solo, correção da acidez, adubação no plantio e de cobertura, tratamento de indução floral, pulverizações contra pragas e doenças), enquanto em outras regiões as práticas ainda são bastante rudimentares, com baixa produtividade."
Infarto,"Aumento de infartos, acidentes vasculares cerebrais, depressão."
Infarto do miocárdio,"Angina, infarto do miocárdio, acidente vascular cerebral (AVC) e embolia pulmonar podem representar a primeira manifestação de trombocitose."
Infecção,"Na maior parte dos casos, essas contaminações foram involuntárias; contudo também há relatos de infecção proposital."
Infeccioso,"lt;ref name=souza2009/&gt; Os carrapatos podem se alimentar de qualquer hospedeiro acidental, inclusive o ser humano, transmitindo assim o agente infeccioso e causando a doença."
Inflamação,Actua ao bloquear alguns metabólitos pró-inflamatórios que aceleram e agravam o processo inflamatório.
Inflamatório,Actua ao bloquear alguns metabólitos pró-inflamatórios que aceleram e agravam o processo inflamatório.
Ingestão,com/content/1/1/5|título = Diet induced thermogenesis|data=18 de agosto de 2004|acessodata=23 de novembro de 2014|autor = |publicado = }} permitindo a ingestão controlada de bebidas alcoólicas mesmo em dietas de perda de peso e/ou ganho muscular.
Inibidor,"Acredita-se que uma substância conhecida como Inibidor da maturação do ovócito (OMI), age mantendo estacionado o processo meiótico (dictióteno)."
Injeção,"O médico acalmou-o, pegou uma seringa, deu-lhe uma injeção de cânfora, e pediu champanhe."
Innervação,NA
Insolação,"Com mais de {{fmtn|1800}} horas de insolação por ano, a umidade do ar média anual é de 84%, contudo baixos índices de umidade podem ser registrados durante a estação seca ou em longos veranicos."
Inspeção,"html|titulo=20 Questions on Genetically Modified Foods|acessodata=16-04-2013|publicado=World Health Organization|wayb=20130327015739|urlmorta=sim}} Para alguns, as culturas de OGM causam preocupações com a segurança alimentar e a rotulagem dos alimentos."
Instabilidade,"Think Progress'', 20/05/2014 Outros estudos recentes apontam que várias grandes regiões da Antártida estão dando crescentes sinais de instabilidade, e podem num prazo de 200 a 500 anos acrescentar vários metros ao nível do mar."
